work_year,employment_type,salary,salary_in_usd,remote_ratio,experience_level_encoded,company_size_encoded,job_title_grouped,employee_residence_grouped,company_location_grouped,salary_currency_grouped
2023,FT,5000000,60795,50,2,3,Medium,Medium,Medium,Medium
2022,FT,50000,50000,100,1,2,Low,Low,Low,Low
2022,FT,77300,77300,100,4,2,Medium,Medium,Medium,Medium
2022,FT,144854,144854,100,1,2,High,High,High,High
2023,FL,50000,50000,50,1,2,Low,Low,Low,Low
2023,FT,226700,226700,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,90000,90000,0,2,2,High,High,High,High
2022,FT,104890,104890,100,1,2,High,High,High,High
2023,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
2022,PT,125404,125404,50,4,1,High,High,High,High
2023,FT,245000,245000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,146000,146000,0,1,2,High,High,High,High
2023,FT,247500,247500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2021,FT,170000,170000,100,1,3,Very High,Very High,Very High,Very High
2023,FT,85500,85500,0,1,2,Medium,Medium,Medium,Medium
2023,FT,94192,94192,0,1,2,High,High,High,High
2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,110600,110600,0,1,2,High,High,High,High
2022,FT,178800,178800,100,1,3,Very High,Very High,Very High,Very High
2022,FT,120000,120000,0,1,2,High,High,High,High
2022,FT,129300,129300,0,1,2,High,High,High,High
2022,FT,115360,115360,100,2,2,High,High,High,High
2022,FT,124234,124234,0,4,2,High,High,High,High
2022,FT,102100,102100,0,1,2,High,High,High,High
2023,FT,165000,165000,0,2,2,Very High,Very High,Very High,Very High
2022,FT,10000,10000,50,1,1,Low,Low,Low,Low
2022,FT,140000,140000,100,1,2,High,High,High,High
2022,FT,200000,200000,100,1,1,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,129300,129300,0,1,2,High,High,High,High
2023,FT,38000,40777,0,1,2,Low,Low,Low,Low
2023,FT,183310,183310,0,2,2,Very High,Very High,Very High,Very High
2022,FT,160395,160395,100,1,2,Very High,Very High,Very High,Very High
2023,FT,156400,156400,0,1,2,Very High,Very High,Very High,Very High
2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,198000,198000,100,1,2,Very High,Very High,Very High,Very High
2021,FT,50000,50000,100,2,3,Low,Low,Low,Low
2023,FT,94000,94000,100,1,2,High,High,High,High
2023,FT,161800,161800,0,1,2,Very High,Very High,Very High,Very High
2022,FT,123000,123000,100,1,2,High,High,High,High
2022,FT,250000,250000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,153000,153000,100,3,2,Very High,Very High,Very High,Very High
2022,FT,23000,24165,50,4,2,Low,Low,Low,Low
2023,FT,210000,210000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,45000,55410,100,4,1,Low,Low,Low,Low
2023,FT,260000,260000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,183600,183600,100,1,2,Very High,Very High,Very High,Very High
2022,FT,129300,129300,0,1,2,High,High,High,High
2022,FT,104000,104000,100,1,2,High,High,High,High
2022,FT,129300,129300,0,1,2,High,High,High,High
2023,FT,175000,175000,0,3,2,Very High,Very High,Very High,Very High
2023,FT,318300,318300,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2020,FT,138350,138350,100,2,2,High,High,High,High
2023,FT,130760,130760,0,4,3,High,High,High,High
2023,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,150000,150000,100,1,3,Very High,Very High,Very High,Very High
2023,FT,153600,153600,100,1,2,Very High,Very High,Very High,Very High
2023,FT,168400,168400,0,1,2,Very High,Very High,Very High,Very High
2022,FT,130000,130000,0,4,2,High,High,High,High
2023,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,220000,220000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,36000,37824,0,1,2,Low,Low,Low,Low
2020,FT,85000,109024,50,1,2,High,High,High,High
2023,FT,168000,168000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,139500,139500,0,1,2,High,High,High,High
2022,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2021,FT,140000,140000,100,1,3,High,High,High,High
2022,FT,245000,245000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2020,FT,95000,95000,0,2,2,High,High,High,High
2022,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2023,FT,133300,133300,0,1,2,High,High,High,High
2023,FT,159832,159832,0,1,2,Very High,Very High,Very High,Very High
2022,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,83270,83270,100,1,2,Medium,Medium,Medium,Medium
2023,FT,126000,126000,0,1,2,High,High,High,High
2022,FT,275000,275000,0,1,1,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,122500,122500,0,1,2,High,High,High,High
2023,FT,205000,205000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2021,FT,75000,88654,50,2,3,Medium,Medium,Medium,Medium
2022,FT,129300,129300,0,1,2,High,High,High,High
2021,FT,150000,150000,0,1,3,Very High,Very High,Very High,Very High
2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,200000,200000,100,2,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,126100,126100,0,1,3,High,High,High,High
2023,FT,126000,126000,0,1,2,High,High,High,High
2023,FT,125000,125000,0,4,2,High,High,High,High
2022,FT,106800,106800,0,1,2,High,High,High,High
2023,FT,75000,75000,100,1,2,Medium,Medium,Medium,Medium
2022,FT,130000,130000,0,2,2,High,High,High,High
2023,FT,110000,110000,0,1,2,High,High,High,High
2022,FT,106800,106800,0,1,2,High,High,High,High
2023,FT,171250,171250,0,1,2,Very High,Very High,Very High,Very High
2022,FT,113900,113900,100,1,2,High,High,High,High
2023,FT,257000,257000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2020,FT,423000,5707,50,4,2,Low,Low,Low,Low
2023,FT,130000,130000,100,1,2,High,High,High,High
2023,FT,128000,128000,0,1,2,High,High,High,High
2022,FT,137000,105236,50,2,3,High,High,High,High
2022,FT,48000,50432,0,1,2,Low,Low,Low,Low
2023,FT,100000,100000,100,1,2,High,High,High,High
2022,FT,144100,144100,0,2,2,High,High,High,High
2022,FT,50000,61566,100,1,2,Medium,Medium,Medium,Medium
2023,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2023,FT,87980,87980,0,1,2,Medium,Medium,Medium,Medium
2022,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,116000,116000,100,1,2,High,High,High,High
2022,FT,182160,182160,0,3,2,Very High,Very High,Very High,Very High
2022,FT,155000,155000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,78000,78000,100,2,2,Medium,Medium,Medium,Medium
2023,FT,90000,96578,100,2,3,High,High,High,High
2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
2023,FT,120000,120000,0,1,2,High,High,High,High
2023,FT,130000,130000,100,1,2,High,High,High,High
2023,FT,260000,260000,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
2022,FT,106260,106260,100,1,2,High,High,High,High
2022,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,115934,115934,100,1,2,High,High,High,High
2022,FT,75000,92350,0,2,2,High,High,High,High
2023,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,131300,131300,100,1,3,High,High,High,High
2022,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,120000,120000,0,4,2,High,High,High,High
2022,FT,15000,15000,0,4,3,Low,Low,Low,Low
2022,FT,100000,100000,100,1,2,High,High,High,High
2023,FT,56000,60093,100,2,2,Medium,Medium,Medium,Medium
2022,FT,99000,99000,0,1,2,High,High,High,High
2023,FT,65000,78990,100,2,2,Medium,Medium,Medium,Medium
2022,FT,135000,135000,100,1,2,High,High,High,High
2022,FT,131300,131300,100,1,3,High,High,High,High
2023,FT,300240,300240,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,158000,158000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,120000,120000,0,1,2,High,High,High,High
2023,FT,205000,205000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,12000,12000,100,4,3,Low,Low,Low,Low
2023,FT,94000,94000,100,1,2,High,High,High,High
2022,FT,98000,98000,0,2,2,High,High,High,High
2021,FT,60000,82528,50,4,3,Medium,Medium,Medium,Medium
2022,FT,141300,141300,0,1,2,High,High,High,High
2021,FT,420000,5679,100,2,1,Low,Low,Low,Low
2023,FT,210914,210914,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,106020,106020,0,1,2,High,High,High,High
2022,FT,63000,63000,0,1,2,Medium,Medium,Medium,Medium
2022,FT,135000,135000,100,1,2,High,High,High,High
2023,FT,107500,107500,100,1,2,High,High,High,High
2023,FT,123700,123700,0,1,3,High,High,High,High
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,232200,232200,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,108000,108000,0,1,2,High,High,High,High
2023,FT,190000,190000,0,2,2,Very High,Very High,Very High,Very High
2023,FT,200000,200000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,30000,36940,100,2,2,Low,Low,Low,Low
2022,FT,145000,145000,100,1,2,High,High,High,High
2022,FT,106500,106500,0,1,2,High,High,High,High
2022,FT,152500,152500,100,1,2,Very High,Very High,Very High,Very High
2021,FT,2250000,30428,100,4,3,Low,Low,Low,Low
2022,FT,55000,55000,0,4,2,Low,Low,Low,Low
2023,FT,42000,51039,0,2,2,Low,Low,Low,Low
2022,FT,63000,63000,0,1,2,Medium,Medium,Medium,Medium
2023,FT,299500,299500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,110600,110600,0,1,2,High,High,High,High
2023,FT,100000,100000,100,2,2,High,High,High,High
2023,FT,105500,105500,0,2,2,High,High,High,High
2022,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,135000,135000,0,2,2,High,High,High,High
2023,FT,152380,152380,0,1,2,Very High,Very High,Very High,Very High
2021,CT,270000,270000,100,2,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,75000,92350,0,1,2,High,High,High,High
2023,FT,45000,48289,100,2,2,Low,Low,Low,Low
2022,FT,136994,136994,100,1,2,High,High,High,High
2022,FT,120000,120000,100,2,1,High,High,High,High
2022,FT,130000,130000,0,1,2,High,High,High,High
2023,FT,148750,148750,0,1,2,High,High,High,High
2021,FT,69600,12901,0,2,1,Low,Low,Low,Low
2023,FT,120000,120000,0,2,2,High,High,High,High
2022,FT,155000,155000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,324000,324000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,222000,222000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,122600,122600,0,1,2,High,High,High,High
2023,FT,105000,105000,0,1,2,High,High,High,High
2021,FT,70000,96282,50,1,3,High,High,High,High
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,140400,140400,0,1,3,High,High,High,High
2021,FT,81000,81000,50,4,1,Medium,Medium,Medium,Medium
2023,FT,220000,220000,50,4,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,50000,50000,100,4,3,Low,Low,Low,Low
2023,FT,115934,115934,100,1,2,High,High,High,High
2023,FT,78000,78000,0,1,2,Medium,Medium,Medium,Medium
2022,FT,74000,91118,0,2,2,High,High,High,High
2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,60000,60000,100,4,2,Medium,Medium,Medium,Medium
2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2022,FT,246000,246000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,27000,33246,50,4,3,Low,Low,Low,Low
2023,FT,125000,125000,0,1,2,High,High,High,High
2022,FT,150000,150000,0,2,2,Very High,Very High,Very High,Very High
2023,FT,120000,120000,0,1,2,High,High,High,High
2023,FT,172200,172200,0,1,2,Very High,Very High,Very High,Very High
2023,FT,129000,129000,0,1,2,High,High,High,High
2023,FT,220000,220000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,137400,137400,100,1,2,High,High,High,High
2022,FT,144000,144000,100,1,2,High,High,High,High
2023,FT,122000,122000,0,1,2,High,High,High,High
2022,FT,160000,160000,0,2,2,Very High,Very High,Very High,Very High
2023,FT,156400,156400,100,1,2,Very High,Very High,Very High,Very High
2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
2021,FT,3000000,40570,50,1,3,Low,Low,Low,Low
2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,216100,216100,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,113000,113000,0,1,2,High,High,High,High
2022,FT,62500,65666,50,2,1,Medium,Medium,Medium,Medium
2022,FT,205000,205000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,56100,56100,100,4,2,Low,Low,Low,Low
2023,FT,60000,60000,0,1,2,Medium,Medium,Medium,Medium
2023,FT,120000,120000,100,4,2,High,High,High,High
2022,FT,110000,110000,100,1,2,High,High,High,High
2022,FT,231250,231250,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,60000,60000,100,4,2,Medium,Medium,Medium,Medium
2022,FT,172000,172000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,88100,88100,0,1,2,Medium,Medium,Medium,Medium
2022,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,201000,201000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,165000,165000,0,2,2,Very High,Very High,Very High,Very High
2022,FT,45000,47280,100,2,2,Low,Low,Low,Low
2022,FT,100000,100000,0,2,2,High,High,High,High
2023,FT,110000,110000,0,3,2,High,High,High,High
2023,FT,170730,170730,0,1,2,Very High,Very High,Very High,Very High
2022,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,124999,151902,100,1,3,Very High,Very High,Very High,Very High
2023,FT,100000,100000,0,2,2,High,High,High,High
2022,FT,65000,80036,50,2,2,Medium,Medium,Medium,Medium
2022,FT,156400,156400,0,1,2,Very High,Very High,Very High,Very High
2023,FT,236000,236000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,135000,135000,100,1,2,High,High,High,High
2022,FT,141525,141525,100,1,2,High,High,High,High
2021,FT,80000,94564,50,1,3,High,High,High,High
2023,FT,153600,153600,0,1,2,Very High,Very High,Very High,Very High
2023,FT,214000,214000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,275000,275000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,93000,93000,0,4,2,High,High,High,High
2023,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,130000,130000,0,1,2,High,High,High,High
2023,FT,80000,97218,0,2,2,High,High,High,High
2022,FT,191475,191475,0,1,2,Very High,Very High,Very High,Very High
2023,FT,30000,30000,50,4,2,Low,Low,Low,Low
2023,FT,133800,133800,100,1,2,High,High,High,High
2022,FT,185000,185000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,153000,153000,100,2,3,Very High,Very High,Very High,Very High
2022,FT,105000,105000,0,1,2,High,High,High,High
2023,FT,237000,237000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,199000,199000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,130000,130000,100,2,2,High,High,High,High
2023,FT,105000,105000,50,2,3,High,High,High,High
2020,FT,45000,51321,0,4,1,Low,Low,Low,Low
2023,FT,116000,116000,0,2,2,High,High,High,High
2022,FT,35000,43096,100,1,2,Low,Low,Low,Low
2023,FT,179000,179000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,80000,84053,0,1,2,Medium,Medium,Medium,Medium
2022,FT,164996,164996,0,1,2,Very High,Very High,Very High,Very High
2022,FT,165000,165000,0,2,2,Very High,Very High,Very High,Very High
2020,FT,412000,412000,100,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,30000,31520,100,4,2,Low,Low,Low,Low
2023,FT,82365,82365,0,1,2,Medium,Medium,Medium,Medium
2022,FT,105000,105000,0,1,2,High,High,High,High
2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,92000,92000,100,1,3,High,High,High,High
2022,FT,30000,31520,100,2,2,Low,Low,Low,Low
2022,FT,130000,130000,100,3,2,High,High,High,High
2023,FT,210000,210000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,133832,133832,0,1,2,High,High,High,High
2023,FT,141600,141600,100,1,2,High,High,High,High
2022,FT,141300,141300,0,1,2,High,High,High,High
2022,CT,29000,30469,100,4,2,Low,Low,Low,Low
2022,FT,150000,150000,100,2,2,Very High,Very High,Very High,Very High
2023,FT,186300,186300,100,1,2,Very High,Very High,Very High,Very High
2023,FT,145000,145000,0,2,2,High,High,High,High
2022,FT,102640,102640,100,2,2,High,High,High,High
2023,FT,117100,117100,100,1,2,High,High,High,High
2023,FT,205600,205600,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,226700,226700,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,44737,54365,0,1,2,Low,Low,Low,Low
2022,FT,119000,119000,0,1,2,High,High,High,High
2023,FT,219535,219535,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,52000,63192,100,2,2,Medium,Medium,Medium,Medium
2022,FT,65004,80041,100,1,2,Medium,Medium,Medium,Medium
2023,FT,210000,210000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2020,FT,190200,190200,100,1,2,Very High,Very High,Very High,Very High
2022,FT,160000,160000,100,2,2,Very High,Very High,Very High,Very High
2023,FT,145000,145000,100,1,2,High,High,High,High
2023,FT,231250,231250,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,90000,65257,50,2,2,Medium,Medium,Medium,Medium
2022,FT,231250,231250,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,140000,140000,100,1,2,High,High,High,High
2023,FT,176000,176000,0,1,2,Very High,Very High,Very High,Very High
2021,FT,90000,71786,100,1,2,Medium,Medium,Medium,Medium
2023,FT,201000,201000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,70000,86193,100,2,2,Medium,Medium,Medium,Medium
2022,FT,126500,126500,0,2,2,High,High,High,High
2023,FT,120000,120000,0,2,2,High,High,High,High
2022,FT,120600,120600,100,1,2,High,High,High,High
2022,FT,200000,200000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,100000,100000,0,1,2,High,High,High,High
2023,FT,230000,230000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,240000,240000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,108000,108000,0,4,1,High,High,High,High
2023,FT,120000,120000,0,1,2,High,High,High,High
2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,109000,109000,0,2,2,High,High,High,High
2023,FT,110000,110000,0,1,2,High,High,High,High
2023,FT,200000,214618,100,4,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,120000,120000,100,1,2,High,High,High,High
2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,135000,135000,100,1,2,High,High,High,High
2023,FT,156400,156400,0,1,2,Very High,Very High,Very High,Very High
2023,FT,50000,53654,100,1,3,Low,Low,Low,Low
2022,FT,135000,135000,100,1,2,High,High,High,High
2022,FT,225000,225000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,75000,75000,100,4,2,Medium,Medium,Medium,Medium
2023,FT,202800,202800,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,225000,225000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,205000,205000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,149076,149076,0,1,2,High,High,High,High
2023,FT,182000,182000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,121500,121500,100,1,2,High,High,High,High
2022,FT,193000,133766,100,1,3,High,High,High,High
2023,FT,130000,130000,100,1,2,High,High,High,High
2023,FT,216000,216000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,1350000,16414,100,2,3,Low,Low,Low,Low
2022,FT,149000,149000,100,1,2,High,High,High,High
2022,FT,169000,169000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,102500,102500,100,1,2,High,High,High,High
2023,FT,231250,231250,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,47500,57723,100,2,2,Low,Low,Low,Low
2022,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,157000,157000,100,2,3,Very High,Very High,Very High,Very High
2022,FT,129300,129300,0,1,2,High,High,High,High
2023,FT,52000,63192,100,2,2,Medium,Medium,Medium,Medium
2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,103200,103200,0,2,2,High,High,High,High
2022,FT,90000,90000,100,1,2,High,High,High,High
2022,FT,63000,63000,100,1,2,Medium,Medium,Medium,Medium
2022,FT,74540,74540,0,4,2,Medium,Medium,Medium,Medium
2023,FT,226700,226700,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,100000,100000,0,4,2,High,High,High,High
2022,FT,135000,135000,100,1,2,High,High,High,High
2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,85000,85000,100,1,2,Medium,Medium,Medium,Medium
2022,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,201036,201036,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,220000,220000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,135000,135000,100,1,2,High,High,High,High
2021,FT,30400000,40038,100,2,3,Low,Low,Low,Low
2023,FT,230000,230000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,134000,134000,100,2,2,High,High,High,High
2022,FT,300000,300000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,145000,145000,0,3,2,High,High,High,High
2022,FT,129300,129300,0,1,2,High,High,High,High
2023,FT,113900,113900,100,1,2,High,High,High,High
2022,FT,100000,100000,100,1,2,High,High,High,High
2022,FT,135000,135000,100,1,2,High,High,High,High
2022,FT,120000,120000,100,1,1,High,High,High,High
2023,FT,230000,230000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,83000,83000,0,4,3,Medium,Medium,Medium,Medium
2023,FT,35000,42533,0,2,2,Low,Low,Low,Low
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,239000,239000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,130000,130000,0,1,2,High,High,High,High
2023,FT,201000,201000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,100000,100000,0,1,2,High,High,High,High
2023,FT,800000,9727,0,4,3,Low,Low,Low,Low
2022,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,100500,100500,0,1,2,High,High,High,High
2021,FT,32000,37825,100,2,3,Low,Low,Low,Low
2023,FT,165000,165000,0,2,2,Very High,Very High,Very High,Very High
2023,FT,100000,100000,0,2,2,High,High,High,High
2023,FT,140000,140000,0,1,2,High,High,High,High
2023,FT,96100,96100,100,1,2,High,High,High,High
2021,FT,45000,61896,50,1,3,Medium,Medium,Medium,Medium
2022,FT,139600,139600,0,1,2,High,High,High,High
2023,FT,105200,105200,0,1,2,High,High,High,High
2023,FT,110000,110000,0,3,2,High,High,High,High
2023,FT,106500,106500,0,1,2,High,High,High,High
2022,FT,236000,236000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,100000,100000,100,4,2,High,High,High,High
2022,FT,96000,96000,100,1,2,High,High,High,High
2022,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,100000,100000,0,1,2,High,High,High,High
2023,FT,245000,245000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,146115,146115,100,1,2,High,High,High,High
2023,FT,73900,73900,0,4,2,Medium,Medium,Medium,Medium
2023,FT,142000,142000,100,1,2,High,High,High,High
2022,FT,207000,207000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,100000,100000,0,1,2,High,High,High,High
2022,FT,141525,141525,100,1,2,High,High,High,High
2022,FT,33000,34672,100,4,1,Low,Low,Low,Low
2023,FT,146000,146000,0,1,2,High,High,High,High
2023,FT,94000,94000,0,1,2,High,High,High,High
2023,FT,156400,156400,0,1,2,Very High,Very High,Very High,Very High
2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,115000,115000,100,1,2,High,High,High,High
2022,FT,100000,104697,100,2,3,High,High,High,High
2022,FT,135000,135000,100,1,2,High,High,High,High
2023,FT,205920,205920,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,150000,150000,0,2,2,Very High,Very High,Very High,Very High
2023,FT,129300,129300,0,1,2,High,High,High,High
2022,FT,148800,148800,100,1,2,High,High,High,High
2022,FT,120000,126080,0,2,1,High,High,High,High
2022,FT,128875,128875,100,1,2,High,High,High,High
2023,FT,125000,125000,0,2,2,High,High,High,High
2023,FT,213660,213660,0,4,3,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,109400,109400,0,1,2,High,High,High,High
2023,FT,229000,229000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,45000,47280,100,2,2,Low,Low,Low,Low
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2021,FT,2500000,33808,0,2,2,Low,Low,Low,Low
2023,FT,252000,252000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,125000,125000,100,1,2,High,High,High,High
2023,FT,62000,66531,100,2,2,Medium,Medium,Medium,Medium
2023,FT,180180,180180,0,1,2,Very High,Very High,Very High,Very High
2022,FT,165000,165000,100,1,3,Very High,Very High,Very High,Very High
2023,FT,200000,200000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,100800,100800,100,1,3,High,High,High,High
2023,FT,61800,61800,100,4,2,Medium,Medium,Medium,Medium
2023,FT,136000,136000,0,1,3,High,High,High,High
2023,FT,106000,106000,0,1,2,High,High,High,High
2022,FT,113000,113000,100,1,2,High,High,High,High
2022,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,158200,158200,100,1,3,Very High,Very High,Very High,Very High
2022,FT,60000,60000,100,1,2,Medium,Medium,Medium,Medium
