,work_year,employment_type,salary,salary_in_usd,remote_ratio,experience_level_encoded,company_size_encoded,job_title_grouped,employee_residence_grouped,company_location_grouped,salary_currency_grouped
2691,2022,FT,85000,85000,100,2,2,Medium,Medium,Medium,Medium
1675,2023,FT,297300,297300,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1532,2023,FT,129000,129000,0,1,2,High,High,High,High
1005,2023,FT,153400,153400,0,1,2,Very High,Very High,Very High,Very High
620,2023,FT,145000,145000,100,1,2,High,High,High,High
2683,2022,FT,66000,69344,100,1,3,Medium,Medium,Medium,Medium
2401,2022,FT,144854,144854,100,1,2,High,High,High,High
553,2023,FT,145000,145000,0,3,2,High,High,High,High
1644,2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1979,2022,FT,210000,210000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3327,2022,FT,140400,140400,0,1,2,High,High,High,High
2121,2022,FT,13000,13000,100,4,1,Low,Low,Low,Low
2398,2022,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
998,2023,FT,1000000,29453,50,1,2,Low,Low,Low,Low
2946,2022,FT,160000,160000,0,1,3,Very High,Very High,Very High,Very High
2285,2022,FT,136000,136000,100,1,2,High,High,High,High
1831,2022,FT,130000,130000,0,1,2,High,High,High,High
1397,2023,FT,195800,195800,0,3,2,Very High,Very High,Very High,Very High
3527,2021,FT,13400,13400,100,4,3,Low,Low,Low,Low
2008,2022,FT,153000,153000,100,2,2,Very High,Very High,Very High,Very High
3733,2021,FT,235000,235000,100,1,3,Extremely High,Extremely High,Extremely High,Extremely High
3610,2021,FT,110000,110000,0,2,1,High,High,High,High
2576,2022,FT,169000,169000,0,1,2,Very High,Very High,Very High,Very High
440,2023,FT,136000,136000,0,1,3,High,High,High,High
508,2023,FT,145000,145000,0,1,2,High,High,High,High
1100,2023,FT,200160,200160,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
589,2023,FT,265000,265000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2553,2022,FT,78000,78000,100,2,2,Medium,Medium,Medium,Medium
649,2023,FT,376080,376080,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3684,2021,FT,75000,88654,100,2,2,Medium,Medium,Medium,Medium
3677,2021,FT,40900,56256,50,2,3,Low,Low,Low,Low
2184,2022,FT,109000,109000,0,2,2,High,High,High,High
3619,2021,FT,185000,185000,50,1,3,Very High,Very High,Very High,Very High
1860,2022,FT,146000,146000,0,1,2,High,High,High,High
1455,2023,FT,108000,108000,100,1,2,High,High,High,High
3390,2022,FT,220110,220110,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
660,2023,FT,90000,90000,100,1,3,High,High,High,High
630,2023,FT,105700,105700,0,1,3,High,High,High,High
1978,2022,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
1249,2023,FT,253750,253750,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3046,2022,FT,202900,202900,100,1,3,Extremely High,Extremely High,Extremely High,Extremely High
482,2023,FT,297300,297300,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2404,2022,FT,179305,179305,100,1,2,Very High,Very High,Very High,Very High
3199,2022,FT,30000,31520,100,2,2,Low,Low,Low,Low
1721,2023,FT,135000,135000,0,1,2,High,High,High,High
1462,2023,FT,5000000,60795,50,2,3,Medium,Medium,Medium,Medium
2601,2022,FT,50000,50000,100,1,2,Low,Low,Low,Low
2421,2022,FT,77300,77300,100,4,2,Medium,Medium,Medium,Medium
3359,2022,FT,144854,144854,100,1,2,High,High,High,High
856,2023,FL,50000,50000,50,1,2,Low,Low,Low,Low
1225,2023,FT,226700,226700,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1190,2023,FT,90000,90000,0,2,2,High,High,High,High
3415,2022,FT,104890,104890,100,1,2,High,High,High,High
530,2023,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
2501,2022,PT,125404,125404,50,4,1,High,High,High,High
49,2023,FT,245000,245000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1592,2023,FT,146000,146000,0,1,2,High,High,High,High
858,2023,FT,247500,247500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3552,2021,FT,170000,170000,100,1,3,Very High,Very High,Very High,Very High
1072,2023,FT,85500,85500,0,1,2,Medium,Medium,Medium,Medium
719,2023,FT,94192,94192,0,1,2,High,High,High,High
3217,2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2016,2022,FT,110600,110600,0,1,2,High,High,High,High
2803,2022,FT,178800,178800,100,1,3,Very High,Very High,Very High,Very High
2042,2022,FT,120000,120000,0,1,2,High,High,High,High
2825,2022,FT,129300,129300,0,1,2,High,High,High,High
2653,2022,FT,115360,115360,100,2,2,High,High,High,High
2028,2022,FT,124234,124234,0,4,2,High,High,High,High
2781,2022,FT,102100,102100,0,1,2,High,High,High,High
1703,2023,FT,165000,165000,0,2,2,Very High,Very High,Very High,Very High
2022,2022,FT,10000,10000,50,1,1,Low,Low,Low,Low
3377,2022,FT,140000,140000,100,1,2,High,High,High,High
2570,2022,FT,200000,200000,100,1,1,Extremely High,Extremely High,Extremely High,Extremely High
2337,2022,FT,129300,129300,0,1,2,High,High,High,High
1566,2023,FT,38000,40777,0,1,2,Low,Low,Low,Low
1582,2023,FT,183310,183310,0,2,2,Very High,Very High,Very High,Very High
2667,2022,FT,160395,160395,100,1,2,Very High,Very High,Very High,Very High
1385,2023,FT,156400,156400,0,1,2,Very High,Very High,Very High,Very High
1399,2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
1195,2023,FT,198000,198000,100,1,2,Very High,Very High,Very High,Very High
3535,2021,FT,50000,50000,100,2,3,Low,Low,Low,Low
1475,2023,FT,94000,94000,100,1,2,High,High,High,High
1798,2023,FT,161800,161800,0,1,2,Very High,Very High,Very High,Very High
3281,2022,FT,123000,123000,100,1,2,High,High,High,High
2185,2022,FT,250000,250000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
297,2023,FT,153000,153000,100,3,2,Very High,Very High,Very High,Very High
1873,2022,FT,23000,24165,50,4,2,Low,Low,Low,Low
1264,2023,FT,210000,210000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
3014,2022,FT,45000,55410,100,4,1,Low,Low,Low,Low
958,2023,FT,260000,260000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1864,2022,FT,183600,183600,100,1,2,Very High,Very High,Very High,Very High
1904,2022,FT,129300,129300,0,1,2,High,High,High,High
1992,2022,FT,104000,104000,100,1,2,High,High,High,High
2545,2022,FT,129300,129300,0,1,2,High,High,High,High
1374,2023,FT,175000,175000,0,3,2,Very High,Very High,Very High,Very High
1286,2023,FT,318300,318300,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3742,2020,FT,138350,138350,100,2,2,High,High,High,High
349,2023,FT,130760,130760,0,4,3,High,High,High,High
1368,2023,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3001,2022,FT,150000,150000,100,1,3,Very High,Very High,Very High,Very High
643,2023,FT,153600,153600,100,1,2,Very High,Very High,Very High,Very High
1651,2023,FT,168400,168400,0,1,2,Very High,Very High,Very High,Very High
1811,2022,FT,130000,130000,0,4,2,High,High,High,High
669,2023,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
3400,2022,FT,220000,220000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1953,2022,FT,36000,37824,0,1,2,Low,Low,Low,Low
3613,2020,FT,85000,109024,50,1,2,High,High,High,High
1614,2023,FT,168000,168000,100,1,2,Very High,Very High,Very High,Very High
1179,2023,FT,139500,139500,0,1,2,High,High,High,High
2340,2022,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3712,2021,FT,140000,140000,100,1,3,High,High,High,High
2958,2022,FT,245000,245000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2118,2020,FT,95000,95000,0,2,2,High,High,High,High
2228,2022,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
1357,2023,FT,133300,133300,0,1,2,High,High,High,High
786,2023,FT,159832,159832,0,1,2,Very High,Very High,Very High,Very High
3364,2022,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
140,2023,FT,83270,83270,100,1,2,Medium,Medium,Medium,Medium
788,2023,FT,126000,126000,0,1,2,High,High,High,High
323,2022,FT,275000,275000,0,1,1,Extremely High,Extremely High,Extremely High,Extremely High
2533,2022,FT,122500,122500,0,1,2,High,High,High,High
714,2023,FT,205000,205000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3688,2021,FT,75000,88654,50,2,3,Medium,Medium,Medium,Medium
2229,2022,FT,129300,129300,0,1,2,High,High,High,High
3464,2021,FT,150000,150000,0,1,3,Very High,Very High,Very High,Very High
2519,2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
3155,2022,FT,200000,200000,100,2,3,Extremely High,Extremely High,Extremely High,Extremely High
1694,2023,FT,126100,126100,0,1,3,High,High,High,High
618,2023,FT,126000,126000,0,1,2,High,High,High,High
406,2023,FT,125000,125000,0,4,2,High,High,High,High
1825,2022,FT,106800,106800,0,1,2,High,High,High,High
1807,2023,FT,75000,75000,100,1,2,Medium,Medium,Medium,Medium
2069,2022,FT,130000,130000,0,2,2,High,High,High,High
1793,2023,FT,110000,110000,0,1,2,High,High,High,High
2272,2022,FT,106800,106800,0,1,2,High,High,High,High
497,2023,FT,171250,171250,0,1,2,Very High,Very High,Very High,Very High
2117,2022,FT,113900,113900,100,1,2,High,High,High,High
342,2023,FT,257000,257000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2428,2022,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
3685,2020,FT,423000,5707,50,4,2,Low,Low,Low,Low
782,2023,FT,130000,130000,100,1,2,High,High,High,High
1323,2023,FT,128000,128000,0,1,2,High,High,High,High
2172,2022,FT,137000,105236,50,2,3,High,High,High,High
2013,2022,FT,48000,50432,0,1,2,Low,Low,Low,Low
303,2023,FT,100000,100000,100,1,2,High,High,High,High
3056,2022,FT,144100,144100,0,2,2,High,High,High,High
2312,2022,FT,50000,61566,100,1,2,Medium,Medium,Medium,Medium
664,2023,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
1177,2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
1244,2023,FT,87980,87980,0,1,2,Medium,Medium,Medium,Medium
2290,2022,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
2166,2022,FT,116000,116000,100,1,2,High,High,High,High
2827,2022,FT,182160,182160,0,3,2,Very High,Very High,Very High,Very High
3344,2022,FT,155000,155000,100,1,2,Very High,Very High,Very High,Very High
2439,2022,FT,78000,78000,100,2,2,Medium,Medium,Medium,Medium
84,2023,FT,90000,96578,100,2,3,High,High,High,High
2758,2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
941,2023,FT,120000,120000,0,1,2,High,High,High,High
961,2023,FT,130000,130000,100,1,2,High,High,High,High
841,2023,FT,260000,260000,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2748,2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
3389,2022,FT,106260,106260,100,1,2,High,High,High,High
1822,2022,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2668,2022,FT,115934,115934,100,1,2,High,High,High,High
2597,2022,FT,75000,92350,0,2,2,High,High,High,High
290,2023,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2793,2022,FT,131300,131300,100,1,3,High,High,High,High
2941,2022,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
1754,2023,FT,120000,120000,0,4,2,High,High,High,High
3139,2022,FT,15000,15000,0,4,3,Low,Low,Low,Low
3393,2022,FT,100000,100000,100,1,2,High,High,High,High
604,2023,FT,56000,60093,100,2,2,Medium,Medium,Medium,Medium
2541,2022,FT,99000,99000,0,1,2,High,High,High,High
916,2023,FT,65000,78990,100,2,2,Medium,Medium,Medium,Medium
3277,2022,FT,135000,135000,100,1,2,High,High,High,High
2791,2022,FT,131300,131300,100,1,3,High,High,High,High
1099,2023,FT,300240,300240,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1088,2023,FT,158000,158000,100,1,2,Very High,Very High,Very High,Very High
2619,2022,FT,120000,120000,0,1,2,High,High,High,High
1624,2023,FT,205000,205000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2034,2022,FT,12000,12000,100,4,3,Low,Low,Low,Low
821,2023,FT,94000,94000,100,1,2,High,High,High,High
2846,2022,FT,98000,98000,0,2,2,High,High,High,High
3544,2021,FT,60000,82528,50,4,3,Medium,Medium,Medium,Medium
3031,2022,FT,141300,141300,0,1,2,High,High,High,High
3667,2021,FT,420000,5679,100,2,1,Low,Low,Low,Low
1302,2023,FT,210914,210914,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
1000,2023,FT,106020,106020,0,1,2,High,High,High,High
3085,2022,FT,63000,63000,0,1,2,Medium,Medium,Medium,Medium
2988,2022,FT,135000,135000,100,1,2,High,High,High,High
1505,2023,FT,107500,107500,100,1,2,High,High,High,High
1477,2023,FT,123700,123700,0,1,3,High,High,High,High
18,2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
1637,2023,FT,232200,232200,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
493,2023,FT,108000,108000,0,1,2,High,High,High,High
1125,2023,FT,190000,190000,0,2,2,Very High,Very High,Very High,Very High
1404,2023,FT,200000,200000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
3197,2022,FT,30000,36940,100,2,2,Low,Low,Low,Low
3048,2022,FT,145000,145000,100,1,2,High,High,High,High
1910,2022,FT,106500,106500,0,1,2,High,High,High,High
3460,2022,FT,152500,152500,100,1,2,Very High,Very High,Very High,Very High
3567,2021,FT,2250000,30428,100,4,3,Low,Low,Low,Low
1966,2022,FT,55000,55000,0,4,2,Low,Low,Low,Low
584,2023,FT,42000,51039,0,2,2,Low,Low,Low,Low
2920,2022,FT,63000,63000,0,1,2,Medium,Medium,Medium,Medium
687,2023,FT,299500,299500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2303,2022,FT,110600,110600,0,1,2,High,High,High,High
1729,2023,FT,100000,100000,100,2,2,High,High,High,High
1608,2023,FT,105500,105500,0,2,2,High,High,High,High
2516,2022,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2096,2022,FT,135000,135000,0,2,2,High,High,High,High
1009,2023,FT,152380,152380,0,1,2,Very High,Very High,Very High,Very High
3538,2021,CT,270000,270000,100,2,3,Extremely High,Extremely High,Extremely High,Extremely High
2168,2022,FT,75000,92350,0,1,2,High,High,High,High
360,2023,FT,45000,48289,100,2,2,Low,Low,Low,Low
3188,2022,FT,136994,136994,100,1,2,High,High,High,High
3421,2022,FT,120000,120000,100,2,1,High,High,High,High
2402,2022,FT,130000,130000,0,1,2,High,High,High,High
1310,2023,FT,148750,148750,0,1,2,High,High,High,High
3703,2021,FT,69600,12901,0,2,1,Low,Low,Low,Low
1736,2023,FT,120000,120000,0,2,2,High,High,High,High
2594,2022,FT,155000,155000,100,1,2,Very High,Very High,Very High,Very High
3410,2022,FT,324000,324000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
344,2023,FT,222000,222000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
986,2023,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1988,2022,FT,122600,122600,0,1,2,High,High,High,High
743,2023,FT,105000,105000,0,1,2,High,High,High,High
3596,2021,FT,70000,96282,50,1,3,High,High,High,High
1671,2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
3319,2022,FT,140400,140400,0,1,3,High,High,High,High
3668,2021,FT,81000,81000,50,4,1,Medium,Medium,Medium,Medium
113,2023,FT,220000,220000,50,4,3,Extremely High,Extremely High,Extremely High,Extremely High
1437,2023,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
3033,2022,FT,50000,50000,100,4,3,Low,Low,Low,Low
1241,2023,FT,115934,115934,100,1,2,High,High,High,High
1142,2023,FT,78000,78000,0,1,2,Medium,Medium,Medium,Medium
3095,2022,FT,74000,91118,0,2,2,High,High,High,High
1216,2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
1198,2023,FT,60000,60000,100,4,2,Medium,Medium,Medium,Medium
85,2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2005,2022,FT,246000,246000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2573,2022,FT,27000,33246,50,4,3,Low,Low,Low,Low
1381,2023,FT,125000,125000,0,1,2,High,High,High,High
1882,2022,FT,150000,150000,0,2,2,Very High,Very High,Very High,Very High
668,2023,FT,120000,120000,0,1,2,High,High,High,High
1014,2023,FT,172200,172200,0,1,2,Very High,Very High,Very High,Very High
128,2023,FT,129000,129000,0,1,2,High,High,High,High
1364,2023,FT,220000,220000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2957,2022,FT,137400,137400,100,1,2,High,High,High,High
2673,2022,FT,144000,144000,100,1,2,High,High,High,High
891,2023,FT,122000,122000,0,1,2,High,High,High,High
2414,2022,FT,160000,160000,0,2,2,Very High,Very High,Very High,Very High
1359,2023,FT,156400,156400,100,1,2,Very High,Very High,Very High,Very High
307,2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
3489,2021,FT,3000000,40570,50,1,3,Low,Low,Low,Low
383,2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
150,2023,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
1317,2023,FT,216100,216100,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1451,2023,FT,113000,113000,0,1,2,High,High,High,High
3154,2022,FT,62500,65666,50,2,1,Medium,Medium,Medium,Medium
2446,2022,FT,205000,205000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
426,2023,FT,56100,56100,100,4,2,Low,Low,Low,Low
494,2023,FT,60000,60000,0,1,2,Medium,Medium,Medium,Medium
1207,2023,FT,120000,120000,100,4,2,High,High,High,High
2697,2022,FT,110000,110000,100,1,2,High,High,High,High
2323,2022,FT,231250,231250,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1208,2023,FT,60000,60000,100,4,2,Medium,Medium,Medium,Medium
2852,2022,FT,172000,172000,100,1,2,Very High,Very High,Very High,Very High
3025,2022,FT,88100,88100,0,1,2,Medium,Medium,Medium,Medium
2741,2022,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
1885,2022,FT,201000,201000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1239,2023,FT,165000,165000,0,2,2,Very High,Very High,Very High,Very High
3221,2022,FT,45000,47280,100,2,2,Low,Low,Low,Low
2045,2022,FT,100000,100000,0,2,2,High,High,High,High
275,2023,FT,110000,110000,0,3,2,High,High,High,High
489,2023,FT,170730,170730,0,1,2,Very High,Very High,Very High,Very High
1907,2022,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
1229,2023,FT,124999,151902,100,1,3,Very High,Very High,Very High,Very High
690,2023,FT,100000,100000,0,2,2,High,High,High,High
3102,2022,FT,65000,80036,50,2,2,Medium,Medium,Medium,Medium
2495,2022,FT,156400,156400,0,1,2,Very High,Very High,Very High,Very High
1808,2023,FT,236000,236000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2496,2022,FT,135000,135000,100,1,2,High,High,High,High
2749,2022,FT,141525,141525,100,1,2,High,High,High,High
3566,2021,FT,80000,94564,50,1,3,High,High,High,High
1058,2023,FT,153600,153600,0,1,2,Very High,Very High,Very High,Very High
118,2023,FT,214000,214000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1024,2023,FT,275000,275000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2836,2022,FT,93000,93000,0,4,2,High,High,High,High
281,2023,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
2202,2022,FT,130000,130000,0,1,2,High,High,High,High
1316,2023,FT,80000,97218,0,2,2,High,High,High,High
2906,2022,FT,191475,191475,0,1,2,Very High,Very High,Very High,Very High
968,2023,FT,30000,30000,50,4,2,Low,Low,Low,Low
1665,2023,FT,133800,133800,100,1,2,High,High,High,High
2010,2022,FT,185000,185000,100,1,2,Very High,Very High,Very High,Very High
3128,2022,FT,153000,153000,100,2,3,Very High,Very High,Very High,Very High
2170,2022,FT,105000,105000,0,1,2,High,High,High,High
619,2023,FT,237000,237000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1742,2023,FT,199000,199000,0,1,2,Very High,Very High,Very High,Very High
3072,2022,FT,130000,130000,100,2,2,High,High,High,High
155,2023,FT,105000,105000,50,2,3,High,High,High,High
3658,2020,FT,45000,51321,0,4,1,Low,Low,Low,Low
1655,2023,FT,116000,116000,0,2,2,High,High,High,High
2313,2022,FT,35000,43096,100,1,2,Low,Low,Low,Low
304,2023,FT,179000,179000,0,1,2,Very High,Very High,Very High,Very High
3491,2022,FT,80000,84053,0,1,2,Medium,Medium,Medium,Medium
3180,2022,FT,164996,164996,0,1,2,Very High,Very High,Very High,Very High
2095,2022,FT,165000,165000,0,2,2,Very High,Very High,Very High,Very High
3750,2020,FT,412000,412000,100,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2789,2022,FT,30000,31520,100,4,2,Low,Low,Low,Low
1307,2023,FT,82365,82365,0,1,2,Medium,Medium,Medium,Medium
2099,2022,FT,105000,105000,0,1,2,High,High,High,High
575,2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
3135,2022,FT,92000,92000,100,1,3,High,High,High,High
3209,2022,FT,30000,31520,100,2,2,Low,Low,Low,Low
3274,2022,FT,130000,130000,100,3,2,High,High,High,High
1706,2023,FT,210000,210000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1299,2023,FT,133832,133832,0,1,2,High,High,High,High
132,2023,FT,141600,141600,100,1,2,High,High,High,High
2780,2022,FT,141300,141300,0,1,2,High,High,High,High
3456,2022,CT,29000,30469,100,4,2,Low,Low,Low,Low
1866,2022,FT,150000,150000,100,2,2,Very High,Very High,Very High,Very High
843,2023,FT,186300,186300,100,1,2,Very High,Very High,Very High,Very High
1628,2023,FT,145000,145000,0,2,2,High,High,High,High
1983,2022,FT,102640,102640,100,2,2,High,High,High,High
269,2023,FT,117100,117100,100,1,2,High,High,High,High
629,2023,FT,205600,205600,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
1730,2023,FT,226700,226700,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1033,2023,FT,44737,54365,0,1,2,Low,Low,Low,Low
2383,2022,FT,119000,119000,0,1,2,High,High,High,High
286,2023,FT,219535,219535,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1326,2023,FT,52000,63192,100,2,2,Medium,Medium,Medium,Medium
2899,2022,FT,65004,80041,100,1,2,Medium,Medium,Medium,Medium
300,2023,FT,210000,210000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3740,2020,FT,190200,190200,100,1,2,Very High,Very High,Very High,Very High
3366,2022,FT,160000,160000,100,2,2,Very High,Very High,Very High,Very High
1447,2023,FT,145000,145000,100,1,2,High,High,High,High
1472,2023,FT,231250,231250,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3125,2022,FT,90000,65257,50,2,2,Medium,Medium,Medium,Medium
2321,2022,FT,231250,231250,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1186,2023,FT,140000,140000,100,1,2,High,High,High,High
65,2023,FT,176000,176000,0,1,2,Very High,Very High,Very High,Very High
3645,2021,FT,90000,71786,100,1,2,Medium,Medium,Medium,Medium
890,2023,FT,201000,201000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2891,2022,FT,70000,86193,100,2,2,Medium,Medium,Medium,Medium
3254,2022,FT,126500,126500,0,2,2,High,High,High,High
1766,2023,FT,120000,120000,0,2,2,High,High,High,High
3259,2022,FT,120600,120600,100,1,2,High,High,High,High
1924,2022,FT,200000,200000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
230,2023,FT,100000,100000,0,1,2,High,High,High,High
503,2023,FT,230000,230000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3150,2022,FT,240000,240000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2588,2022,FT,108000,108000,0,4,1,High,High,High,High
380,2023,FT,120000,120000,0,1,2,High,High,High,High
1525,2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2732,2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2415,2022,FT,109000,109000,0,2,2,High,High,High,High
1004,2023,FT,110000,110000,0,1,2,High,High,High,High
836,2023,FT,200000,214618,100,4,3,Extremely High,Extremely High,Extremely High,Extremely High
2233,2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
374,2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
1972,2022,FT,120000,120000,100,1,2,High,High,High,High
2633,2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2763,2022,FT,135000,135000,100,1,2,High,High,High,High
939,2023,FT,156400,156400,0,1,2,Very High,Very High,Very High,Very High
1321,2023,FT,50000,53654,100,1,3,Low,Low,Low,Low
2375,2022,FT,135000,135000,100,1,2,High,High,High,High
2584,2022,FT,225000,225000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
751,2023,FT,75000,75000,100,4,2,Medium,Medium,Medium,Medium
99,2023,FT,202800,202800,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
1543,2023,FT,225000,225000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2356,2022,FT,205000,205000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
866,2023,FT,149076,149076,0,1,2,High,High,High,High
1760,2023,FT,182000,182000,0,1,2,Very High,Very High,Very High,Very High
910,2023,FT,121500,121500,100,1,2,High,High,High,High
3142,2022,FT,193000,133766,100,1,3,High,High,High,High
1575,2023,FT,130000,130000,100,1,2,High,High,High,High
529,2023,FT,216000,216000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1260,2023,FT,1350000,16414,100,2,3,Low,Low,Low,Low
1878,2022,FT,149000,149000,100,1,2,High,High,High,High
2302,2022,FT,169000,169000,0,1,2,Very High,Very High,Very High,Very High
636,2023,FT,102500,102500,100,1,2,High,High,High,High
1269,2023,FT,231250,231250,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
185,2023,FT,47500,57723,100,2,2,Low,Low,Low,Low
2357,2022,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
3428,2022,FT,157000,157000,100,2,3,Very High,Very High,Very High,Very High
2130,2022,FT,129300,129300,0,1,2,High,High,High,High
1797,2023,FT,52000,63192,100,2,2,Medium,Medium,Medium,Medium
931,2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
1441,2023,FT,103200,103200,0,2,2,High,High,High,High
2515,2022,FT,90000,90000,100,1,2,High,High,High,High
2859,2022,FT,63000,63000,100,1,2,Medium,Medium,Medium,Medium
2029,2022,FT,74540,74540,0,4,2,Medium,Medium,Medium,Medium
1535,2023,FT,226700,226700,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
865,2023,FT,100000,100000,0,4,2,High,High,High,High
2990,2022,FT,135000,135000,100,1,2,High,High,High,High
1273,2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2802,2022,FT,85000,85000,100,1,2,Medium,Medium,Medium,Medium
2186,2022,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
